Build Select,,Starting Class,,Head,Body,Arms,Legs,,Talismans,,,,,,,Great Rune,,Crystal Tear 1,Crystal Tear 2,,Weapon Class,,,,,,,,,Upgrade Levels,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,Unarmed,,weapons,canCast,Catalyst Select,,Spell 1,Spell 2,Spell 3,Spell 4,Spell 5,Spell 6,Spell 7,Spell 8,Spell 9,Spell 10,Spell 11,Spell 12,,Defaults,,
,,,,Traveling Maiden Hood,Finger Robe,Leather Arm Wraps,Thiollier's Trousers,,Spelldrake Talisman +3,4010.0,Spelldrake Talisman +2,Spelldrake Talisman +2,Spelldrake Talisman +2,Spelldrake Talisman +2,,,,,,,Reusable,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,Shatter Earth,,LH3 Class,,
,,,,Finger Maiden Fillet,Fia's Robe,Iron Rivet Gauntlets,Nomadic Merchant's Trousers,,Flamedrake Talisman,4020.0,Spelldrake Talisman +3,Spelldrake Talisman +3,Spelldrake Talisman +3,Spelldrake Talisman +3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,,LH3 Weapon,Unarmed,Unarmed
,,,,Sage Hood,Fia's Robe (Altered),Igon's Gauntlets,Bandit Boots,,Flamedrake Talisman +1,4020.0,Flamedrake Talisman,Flamedrake Talisman,Flamedrake Talisman,Flamedrake Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,,LH3 Affinity,Standard,Standard
,,,,Greathood,Deathbed Dress,Ascetic's Wrist Guards,Confessor Boots,,Flamedrake Talisman +2,4020.0,Flamedrake Talisman +1,Flamedrake Talisman +1,Flamedrake Talisman +1,Flamedrake Talisman +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,,LH3 Upgrade,0,0
,,,,Dane's Hat,Prophet Robe,Chain Gauntlets,Omenkiller Boots,,Flamedrake Talisman +3,4020.0,Flamedrake Talisman +2,Flamedrake Talisman +2,Flamedrake Talisman +2,Flamedrake Talisman +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,Rock Blaster,,Memory Slots,10,10.0
,,,,Radiant Gold Mask,Prophet Robe (Altered),Iron Gauntlets,Gravebird Anklets,,Boltdrake Talisman,4030.0,Flamedrake Talisman +3,Flamedrake Talisman +3,Flamedrake Talisman +3,Flamedrake Talisman +3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scholar's Armament,Scholar's Armament,Scholar's Armament,Scholar's Armament,Scholar's Armament,Scholar's Armament,Scholar's Armament,Scholar's Armament,Scholar's Armament,Scholar's Armament,Scholar's Armament,Scholar's Armament,,Spell 1,Empty,Empty
,,,,Perfumer Hood,Corhyn's Robe,Godrick Soldier Gauntlets,Dancer's Trousers,,Boltdrake Talisman +1,4030.0,Boltdrake Talisman,Boltdrake Talisman,Boltdrake Talisman,Boltdrake Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scholar's Shield,Scholar's Shield,Scholar's Shield,Scholar's Shield,Scholar's Shield,Scholar's Shield,Scholar's Shield,Scholar's Shield,Scholar's Shield,Scholar's Shield,Scholar's Shield,Scholar's Shield,,Spell 2,Empty,Empty
,,,,Traveler's Hat,Traveling Maiden Robe,Raya Lucarian Gauntlets,Foot Soldier Greaves,,Boltdrake Talisman +2,4030.0,Boltdrake Talisman +1,Boltdrake Talisman +1,Boltdrake Talisman +1,Boltdrake Talisman +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Starlight,Starlight,Starlight,Starlight,Starlight,Starlight,Starlight,Starlight,Starlight,Starlight,Starlight,Starlight,,Spell 3,Empty,Empty
,,,,Depraved Perfumer Headscarf,Traveling Maiden Robe (Altered),Radahn Soldier Gauntlets,Common Soldier Greaves,,Boltdrake Talisman +3,4030.0,Boltdrake Talisman +2,Boltdrake Talisman +2,Boltdrake Talisman +2,Boltdrake Talisman +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terra Magica,Terra Magica,Terra Magica,Terra Magica,Terra Magica,Terra Magica,Terra Magica,Terra Magica,Terra Magica,Terra Magica,Terra Magica,Terra Magica,,Spell 4,Empty,Empty
,,,,Ruler's Mask,Finger Maiden Robe,Leyndell Soldier Gauntlets,Vulgar Militia Greaves,,Haligdrake Talisman,4040.0,Boltdrake Talisman +3,Boltdrake Talisman +3,Boltdrake Talisman +3,Boltdrake Talisman +3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thops's Barrier,Thops's Barrier,Thops's Barrier,Thops's Barrier,Thops's Barrier,Thops's Barrier,Thops's Barrier,Thops's Barrier,Thops's Barrier,Thops's Barrier,Thops's Barrier,Thops's Barrier,,Spell 5,Empty,Empty
,,,,Consort's Mask,Finger Maiden Robe (Altered),Haligtree Gauntlets,Shadow Militiaman Greaves,,Haligdrake Talisman +1,4040.0,Haligdrake Talisman,Haligdrake Talisman,Haligdrake Talisman,Haligdrake Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,,Spell 6,Empty,Empty
,,,,Marais Mask,Dryleaf Robe,Mausoleum Gauntlets,Duelist Greaves,,Haligdrake Talisman +2,4040.0,Haligdrake Talisman +1,Haligdrake Talisman +1,Haligdrake Talisman +1,Haligdrake Talisman +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,,Spell 7,Empty,Empty
,,,,Great Horned Headband,Dryleaf Robe (Altered),Messmer Soldier Gauntlets,Rotten Duelist Greaves,,Golden Braid,4040.0,Haligdrake Talisman +2,Haligdrake Talisman +2,Haligdrake Talisman +2,Haligdrake Talisman +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,,Spell 8,Empty,Empty
,,,,Shining Horned Headband,Sage Robe,Exile Gauntlets,Nox Greaves,,Pearldrake Talisman,4050.0,Golden Braid,Golden Braid,Golden Braid,Golden Braid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,,Spell 9,Empty,Empty
,,,,Godskin Apostle Hood,Goldmask's Rags,Kaiden Gauntlets,Champion Gaiters,,Pearldrake Talisman +1,4050.0,Pearldrake Talisman,Pearldrake Talisman,Pearldrake Talisman,Pearldrake Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,Comet Azur,,Spell 10,Empty,Empty
,,,,Godskin Noble Hood,Perfumer Robe,Land of Reeds Gauntlets,Leather Leg Wraps,,Pearldrake Talisman +2,4050.0,Pearldrake Talisman +1,Pearldrake Talisman +1,Pearldrake Talisman +1,Pearldrake Talisman +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,,Spell 11,Empty,Empty
,,,,Sanguine Noble Hood,Perfumer Robe (Altered),White Reed Gauntlets,Iron Rivet Greaves,,Pearldrake Talisman +3,4050.0,Pearldrake Talisman +2,Pearldrake Talisman +2,Pearldrake Talisman +2,Pearldrake Talisman +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,,Spell 12,Empty,Empty
,,,,Wise Man's Mask,Perfumer's Traveling Garb,Ronin's Gauntlets,Igon's Loincloth,,Immunizing Horn Charm,1170.0,Pearldrake Talisman +3,Pearldrake Talisman +3,Pearldrake Talisman +3,Pearldrake Talisman +3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,,,,
,,,,Crimson Tear Scarab,Perfumer's Traveling Garb (Altered),Eccentric's Manchettes,Ascetic's Ankle Guards,,Immunizing Horn Charm +1,1170.0,Immunizing Horn Charm,Immunizing Horn Charm,Immunizing Horn Charm,Immunizing Horn Charm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,,Equipped Select,No Catalyst Equipped,
,,,,Cerulean Tear Scarab,Depraved Perfumer Robe,Freyja's Gauntlets,Chain Leggings,,Immunizing Horn Charm +2,1170.0,Immunizing Horn Charm +1,Immunizing Horn Charm +1,Immunizing Horn Charm +1,Immunizing Horn Charm +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,,,,
,,,,Ash-of-War Scarab,Depraved Perfumer Robe (Altered),Blue Silver Bracelets,Godrick Soldier Greaves,,Stalwart Horn Charm,1160.0,Immunizing Horn Charm +2,Immunizing Horn Charm +2,Immunizing Horn Charm +2,Immunizing Horn Charm +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,,DamageCalcMultiplier,1.0,
,,,,Glintstone Scarab,Upper-Class Robe,Fire Monk Gauntlets,Raya Lucarian Greaves,,Stalwart Horn Charm +1,1160.0,Stalwart Horn Charm,Stalwart Horn Charm,Stalwart Horn Charm,Stalwart Horn Charm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,,,,
,,,,Incantation Scarab,Ruler's Robe,Blackflame Monk Gauntlets,Radahn Soldier Greaves,,Stalwart Horn Charm +2,1160.0,Stalwart Horn Charm +1,Stalwart Horn Charm +1,Stalwart Horn Charm +1,Stalwart Horn Charm +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,,,,
,,,,Imp Head (Cat),Consort's Robe,Zamor Bracelets,Leyndell Soldier Greaves,,Clarifying Horn Charm,1180.0,Stalwart Horn Charm +2,Stalwart Horn Charm +2,Stalwart Horn Charm +2,Stalwart Horn Charm +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,,,,
,,,,Imp Head (Wolf),Official's Attire,Black Knife Gauntlets,Haligtree Greaves,,Clarifying Horn Charm +1,1180.0,Clarifying Horn Charm,Clarifying Horn Charm,Clarifying Horn Charm,Clarifying Horn Charm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,,,,
,,,,Imp Head (Fanged),Marais Robe,Gauntlets of Night,Mausoleum Greaves,,Clarifying Horn Charm +2,1180.0,Clarifying Horn Charm +1,Clarifying Horn Charm +1,Clarifying Horn Charm +1,Clarifying Horn Charm +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,,,,
,,,,Imp Head (Long-Tongued),Fur Raiment,Malenia's Gauntlet,Messmer Soldier Greaves,,Mottled Necklace,1200.0,Clarifying Horn Charm +2,Clarifying Horn Charm +2,Clarifying Horn Charm +2,Clarifying Horn Charm +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,,,,
,,,,Imp Head (Corpse),Shaman Furs,Elden Lord Bracers,Exile Greaves,,Mottled Necklace +1,1200.0,Mottled Necklace,Mottled Necklace,Mottled Necklace,Mottled Necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,,,,
,,,,Imp Head (Elder),Godskin Apostle Robe,Messmer's Gauntlets,Kaiden Trousers,,Mottled Necklace +2,1200.0,Mottled Necklace +1,Mottled Necklace +1,Mottled Necklace +1,Mottled Necklace +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,,,,
,,,,Imp Head (Lion),Godskin Noble Robe,Knight Gauntlets,Land of Reeds Greaves,,Prince of Death's Pustule,1190.0,Mottled Necklace +2,Mottled Necklace +2,Mottled Necklace +2,Mottled Necklace +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,,,,
,,,,Nox Mirrorhelm,Fell Omen Cloak,Vagabond Knight Gauntlets,White Reed Greaves,,Prince of Death's Cyst,1190.0,Prince of Death's Pustule,Prince of Death's Pustule,Prince of Death's Pustule,Prince of Death's Pustule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,Stars of Ruin,,,,
,,,,Iji's Mirrorhelm,Sanguine Noble Robe,Carian Knight Gauntlets,Ronin's Greaves,,Ailment Talisman,8120.0,Prince of Death's Cyst,Prince of Death's Cyst,Prince of Death's Cyst,Prince of Death's Cyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Founding Rain of Stars,Founding Rain of Stars,Founding Rain of Stars,Founding Rain of Stars,Founding Rain of Stars,Founding Rain of Stars,Founding Rain of Stars,Founding Rain of Stars,Founding Rain of Stars,Founding Rain of Stars,Founding Rain of Stars,Founding Rain of Stars,,,,
,,,,Silver Tear Mask,Ansbach's Attire,Godrick Knight Gauntlets,Eccentric's Breeches,,Dagger Talisman,2090.0,Ailment Talisman,Ailment Talisman,Ailment Talisman,Ailment Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Founding Rain of Stars,Founding Rain of Stars,Founding Rain of Stars,Founding Rain of Stars,Founding Rain of Stars,Founding Rain of Stars,Founding Rain of Stars,Founding Rain of Stars,Founding Rain of Stars,Founding Rain of Stars,Founding Rain of Stars,Founding Rain of Stars,,,,
,,,,Envoy Crown,Ansbach's Attire (Altered),Cuckoo Knight Gauntlets,Freyja's Greaves,,Curved Sword Talisman,2200.0,Dagger Talisman,Dagger Talisman,Dagger Talisman,Dagger Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magic Glintblade,Magic Glintblade,Magic Glintblade,Magic Glintblade,Magic Glintblade,Magic Glintblade,Magic Glintblade,Magic Glintblade,Magic Glintblade,Magic Glintblade,Magic Glintblade,Magic Glintblade,,,,
,,,,Octopus Head,Lord of Blood's Robe,Redmane Knight Gauntlets,Blue Silver Mail Skirt,,Twinblade Talisman,2120.0,Curved Sword Talisman,Curved Sword Talisman,Curved Sword Talisman,Curved Sword Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magic Glintblade,Magic Glintblade,Magic Glintblade,Magic Glintblade,Magic Glintblade,Magic Glintblade,Magic Glintblade,Magic Glintblade,Magic Glintblade,Magic Glintblade,Magic Glintblade,Magic Glintblade,,,,
,,,,Jar,Lord of Blood's Robe (Altered),Gelmir Knight Gauntlets,Fire Monk Greaves,,Axe Talisman,2130.0,Twinblade Talisman,Twinblade Talisman,Twinblade Talisman,Twinblade Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glintblade Trio,Glintblade Trio,Glintblade Trio,Glintblade Trio,Glintblade Trio,Glintblade Trio,Glintblade Trio,Glintblade Trio,Glintblade Trio,Glintblade Trio,Glintblade Trio,Glintblade Trio,,,,
,,,,Greatjar,Leather Armor,Leyndell Knight Gauntlets,Blackflame Monk Greaves,,Hammer Talisman,2070.0,Axe Talisman,Axe Talisman,Axe Talisman,Axe Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glintblade Trio,Glintblade Trio,Glintblade Trio,Glintblade Trio,Glintblade Trio,Glintblade Trio,Glintblade Trio,Glintblade Trio,Glintblade Trio,Glintblade Trio,Glintblade Trio,Glintblade Trio,,,,
,,,,Albinauric Mask,Blue Cloth Vest,Haligtree Knight Gauntlets,Zamor Legwraps,,Spear Talisman,2060.0,Hammer Talisman,Hammer Talisman,Hammer Talisman,Hammer Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glintblade Phalanx,Glintblade Phalanx,Glintblade Phalanx,Glintblade Phalanx,Glintblade Phalanx,Glintblade Phalanx,Glintblade Phalanx,Glintblade Phalanx,Glintblade Phalanx,Glintblade Phalanx,Glintblade Phalanx,Glintblade Phalanx,,,,
,,,,Black Wolf Mask,Noble's Traveling Garb,Mausoleum Knight Gauntlets,Black Knife Greaves,,Lance Talisman,2140.0,Spear Talisman,Spear Talisman,Spear Talisman,Spear Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glintblade Phalanx,Glintblade Phalanx,Glintblade Phalanx,Glintblade Phalanx,Glintblade Phalanx,Glintblade Phalanx,Glintblade Phalanx,Glintblade Phalanx,Glintblade Phalanx,Glintblade Phalanx,Glintblade Phalanx,Glintblade Phalanx,,,,
,,,,Blue Cloth Cowl,War Surgeon Gown,Black Knight Gauntlets,Greaves of Night,,Claw Talisman,2180.0,Lance Talisman,Lance Talisman,Lance Talisman,Lance Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carian Phalanx,Carian Phalanx,Carian Phalanx,Carian Phalanx,Carian Phalanx,Carian Phalanx,Carian Phalanx,Carian Phalanx,Carian Phalanx,Carian Phalanx,Carian Phalanx,Carian Phalanx,,,,
,,,,Crimson Hood,War Surgeon Gown (Altered),Bloodhound Knight Gauntlets,Malenia's Greaves,,Two-Handed Sword Talisman,8040.0,Claw Talisman,Claw Talisman,Claw Talisman,Claw Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carian Phalanx,Carian Phalanx,Carian Phalanx,Carian Phalanx,Carian Phalanx,Carian Phalanx,Carian Phalanx,Carian Phalanx,Carian Phalanx,Carian Phalanx,Carian Phalanx,Carian Phalanx,,,,
,,,,Navy Hood,Thiollier's Garb,Cleanrot Gauntlets,Elden Lord Greaves,,Greatshield Talisman,4100.0,Two-Handed Sword Talisman,Two-Handed Sword Talisman,Two-Handed Sword Talisman,Two-Handed Sword Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greatblade Phalanx,Greatblade Phalanx,Greatblade Phalanx,Greatblade Phalanx,Greatblade Phalanx,Greatblade Phalanx,Greatblade Phalanx,Greatblade Phalanx,Greatblade Phalanx,Greatblade Phalanx,Greatblade Phalanx,Greatblade Phalanx,,,,
,,,,White Mask,Thiollier's Garb (Altered),Fire Knight Gauntlets,Messmer's Greaves,,Pearl Shield Talisman,8090.0,Greatshield Talisman,Greatshield Talisman,Greatshield Talisman,Greatshield Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greatblade Phalanx,Greatblade Phalanx,Greatblade Phalanx,Greatblade Phalanx,Greatblade Phalanx,Greatblade Phalanx,Greatblade Phalanx,Greatblade Phalanx,Greatblade Phalanx,Greatblade Phalanx,Greatblade Phalanx,Greatblade Phalanx,,,,
,,,,Thiollier's Mask,Nomadic Merchant's Finery,Death Knight Gauntlets,Knight Greaves,,Retaliatory Crossed-Tree,8130.0,Pearl Shield Talisman,Pearl Shield Talisman,Pearl Shield Talisman,Pearl Shield Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,,,,
,,,,Nomadic Merchant's Chapeau,Nomadic Merchant's Finery (Altered),Horned Warrior Gauntlets,Vagabond Knight Greaves,,Lacerating Crossed-Tree,8140.0,Retaliatory Crossed-Tree,Retaliatory Crossed-Tree,Retaliatory Crossed-Tree,Retaliatory Crossed-Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,,,,
,,,,Bandit Mask,Bandit Garb,Divine Bird Warrior Gauntlets,Carian Knight Greaves,,Arrow's Sting Talisman,2150.0,Lacerating Crossed-Tree,Lacerating Crossed-Tree,Lacerating Crossed-Tree,Lacerating Crossed-Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,,,,
,,,,Black Hood,Confessor Armor,Oathseeker Knight Gauntlets,Godrick Knight Greaves,,Arrow's Reach Talisman,2100.0,Arrow's Sting Talisman,Arrow's Sting Talisman,Arrow's Sting Talisman,Arrow's Sting Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,Magic Downpour,,,,
,,,,Confessor Hood,Confessor Armor (Altered),Raging Wolf Gauntlets,Cuckoo Knight Greaves,,Arrow's Soaring Sting Talisman,2100.0,Arrow's Reach Talisman,Arrow's Reach Talisman,Arrow's Reach Talisman,Arrow's Reach Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loretta's Greatbow,Loretta's Greatbow,Loretta's Greatbow,Loretta's Greatbow,Loretta's Greatbow,Loretta's Greatbow,Loretta's Greatbow,Loretta's Greatbow,Loretta's Greatbow,Loretta's Greatbow,Loretta's Greatbow,Loretta's Greatbow,,,,
,,,,Confessor Hood (Altered),Omenkiller Robe,Hoslow's Gauntlets,Redmane Knight Greaves,,Sharpshot Talisman,8150.0,Arrow's Soaring Sting Talisman,Arrow's Soaring Sting Talisman,Arrow's Soaring Sting Talisman,Arrow's Soaring Sting Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loretta's Greatbow,Loretta's Greatbow,Loretta's Greatbow,Loretta's Greatbow,Loretta's Greatbow,Loretta's Greatbow,Loretta's Greatbow,Loretta's Greatbow,Loretta's Greatbow,Loretta's Greatbow,Loretta's Greatbow,Loretta's Greatbow,,,,
,,,,Omensmirk Mask,Raptor's Black Feathers,Twinned Gauntlets,Gelmir Knight Greaves,,Graven-School Talisman,3000.0,Sharpshot Talisman,Sharpshot Talisman,Sharpshot Talisman,Sharpshot Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loretta's Mastery,Loretta's Mastery,Loretta's Mastery,Loretta's Mastery,Loretta's Mastery,Loretta's Mastery,Loretta's Mastery,Loretta's Mastery,Loretta's Mastery,Loretta's Mastery,Loretta's Mastery,Loretta's Mastery,,,,
,,,,Skeletal Mask,Gravebird Armor,Drake Knight Gauntlets,Leyndell Knight Greaves,,Graven-Mass Talisman,3001.0,Graven-School Talisman,Graven-School Talisman,Graven-School Talisman,Graven-School Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loretta's Mastery,Loretta's Mastery,Loretta's Mastery,Loretta's Mastery,Loretta's Mastery,Loretta's Mastery,Loretta's Mastery,Loretta's Mastery,Loretta's Mastery,Loretta's Mastery,Loretta's Mastery,Loretta's Mastery,,,,
,,,,Gravebird Helm,Gravebird's Blackquill Armor,Blaidd's Gauntlets,Haligtree Knight Greaves,,Faithful's Canvas Talisman,3040.0,Graven-Mass Talisman,Graven-Mass Talisman,Graven-Mass Talisman,Graven-Mass Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rennala's Full Moon,Rennala's Full Moon,Rennala's Full Moon,Rennala's Full Moon,Rennala's Full Moon,Rennala's Full Moon,Rennala's Full Moon,Rennala's Full Moon,Rennala's Full Moon,Rennala's Full Moon,Rennala's Full Moon,Rennala's Full Moon,,,,
