Skill,WeaponClass
Spinning Weapon,Dagger
Spinning Weapon,Throwing Blade
Spinning Weapon,Straight Sword
Spinning Weapon,Light Greatsword
Spinning Weapon,Curved Sword
Spinning Weapon,Katana
Spinning Weapon,Great Katana
Spinning Weapon,Twinblade
Spinning Weapon,Backhand Blade
Spinning Weapon,Flail
Spinning Weapon,Spear
Spinning Weapon,Halberd
Spinning Weapon,Reaper
Spinning Weapon,Thrusting Shield
Loretta's Slash,Polearm
Loretta's Slash,Twinblade
Loretta's Slash,Spear
Loretta's Slash,Great Spear
Loretta's Slash,Halberd
Loretta's Slash,Reaper
Gravitas,AllMelee
Gravitas,Straight Sword
Gravitas,Greatsword
Gravitas,Light Greatsword
Gravitas,Colossal Sword
Gravitas,Curved Sword
Gravitas,Curved Greatsword
Gravitas,Katana
Gravitas,Great Katana
Gravitas,Twinblade
Gravitas,Backhand Blade
Gravitas,Thrusting Sword
Gravitas,Heavy Thrusting Sword
Gravitas,Hammer
Gravitas,Great Hammer
Gravitas,Axe
Gravitas,Greataxe
Gravitas,Flail
Gravitas,Spear
Gravitas,Great Spear
Gravitas,Halberd
Gravitas,Reaper
Gravitas,Colossal Weapon
Gravitas,Thrusting Shield
Waves of Darkness,Greataxe
Waves of Darkness,Hammer
Waves of Darkness,Colossal Weapon
Waves of Darkness,Great Spear
Waves of Darkness,Colossal Sword
Waves of Darkness,Great Hammer
Thops's Barrier,Medium Shield
Carian Retaliation,Medium Shield
Flaming Strike,Colossal Weapon
Flaming Strike,Whip
Flaming Strike,Dagger
Flaming Strike,Straight Sword
Flaming Strike,Greatsword
Flaming Strike,Light Greatsword
Flaming Strike,Curved Sword
Flaming Strike,Curved Greatsword
Flaming Strike,Katana
Flaming Strike,Great Katana
Flaming Strike,Twinblade
Flaming Strike,Backhand Blade
Flaming Strike,Thrusting Sword
Flaming Strike,Heavy Thrusting Sword
Flaming Strike,Hammer
Flaming Strike,Great Hammer
Flaming Strike,Axe
Flaming Strike,Greataxe
Flaming Strike,Flail
Flaming Strike,Spear
Flaming Strike,Great Spear
Flaming Strike,Halberd
Flaming Strike,Reaper
Flaming Strike,Fist
Flaming Strike,Claw
Flaming Strike,Beast Claw
Flaming Strike,Thrusting Shield
Flame of the Redmanes,AllMelee
Flame of the Redmanes,Dagger
Flame of the Redmanes,Throwing Blade
Flame of the Redmanes,Straight Sword
Flame of the Redmanes,Greatsword
Flame of the Redmanes,Light Greatsword
Flame of the Redmanes,Colossal Sword
Flame of the Redmanes,Curved Sword
Flame of the Redmanes,Curved Greatsword
Flame of the Redmanes,Katana
Flame of the Redmanes,Great Katana
Flame of the Redmanes,Twinblade
Flame of the Redmanes,Backhand Blade
Flame of the Redmanes,Thrusting Sword
Flame of the Redmanes,Heavy Thrusting Sword
Flame of the Redmanes,Hammer
Flame of the Redmanes,Great Hammer
Flame of the Redmanes,Axe
Flame of the Redmanes,Greataxe
Flame of the Redmanes,Flail
Flame of the Redmanes,Spear
Flame of the Redmanes,Great Spear
Flame of the Redmanes,Halberd
Flame of the Redmanes,Reaper
Flame of the Redmanes,Fist
Flame of the Redmanes,Hand-to-Hand
Flame of the Redmanes,Claw
Flame of the Redmanes,Beast Claw
Flame of the Redmanes,Whip
Flame of the Redmanes,Colossal Weapon
Flame of the Redmanes,Thrusting Shield
Eruption,Greatsword
Eruption,Greataxe
Eruption,Great Hammer
Eruption,Heavy Thrusting Sword
Eruption,Colossal Weapon
Eruption,Colossal Sword
Eruption,Curved Greatsword
Eruption,Great Katana
Prelate's Charge,Axe
Prelate's Charge,Hammer
Prelate's Charge,Great Hammer
Prelate's Charge,Greataxe
Prelate's Charge,Colossal Weapon
Prelate's Charge,Claw
Black Flame Tornado,Polearm
Black Flame Tornado,Twinblade
Black Flame Tornado,Spear
Black Flame Tornado,Great Spear
Black Flame Tornado,Halberd
Black Flame Tornado,Reaper
Thunderbolt,AllMelee
Thunderbolt,Dagger
Thunderbolt,Throwing Blade
Thunderbolt,Straight Sword
Thunderbolt,Greatsword
Thunderbolt,Light Greatsword
Thunderbolt,Colossal Sword
Thunderbolt,Curved Sword
Thunderbolt,Curved Greatsword
Thunderbolt,Katana
Thunderbolt,Great Katana
Thunderbolt,Twinblade
Thunderbolt,Backhand Blade
Thunderbolt,Thrusting Sword
Thunderbolt,Heavy Thrusting Sword
Thunderbolt,Hammer
Thunderbolt,Great Hammer
Thunderbolt,Axe
Thunderbolt,Greataxe
Thunderbolt,Flail
Thunderbolt,Spear
Thunderbolt,Great Spear
Thunderbolt,Halberd
Thunderbolt,Reaper
Thunderbolt,Fist
Thunderbolt,Claw
Thunderbolt,Beast Claw
Thunderbolt,Whip
Thunderbolt,Colossal Weapon
Thunderbolt,Thrusting Shield
Lightning Slash,Axe
Lightning Slash,Hammer
Lightning Slash,Dagger
Lightning Slash,Straight Sword
Lightning Slash,Greatsword
Lightning Slash,Light Greatsword
Lightning Slash,Colossal Sword
Lightning Slash,Curved Sword
Lightning Slash,Curved Greatsword
Lightning Slash,Katana
Lightning Slash,Great Katana
Lightning Slash,Twinblade
Lightning Slash,Thrusting Sword
Lightning Slash,Heavy Thrusting Sword
Lightning Slash,Great Hammer
Lightning Slash,Greataxe
Lightning Slash,Flail
Lightning Slash,Colossal Weapon
Lightning Ram,AllMelee
Lightning Ram,Dagger
Lightning Ram,Throwing Blade
Lightning Ram,Straight Sword
Lightning Ram,Greatsword
Lightning Ram,Light Greatsword
Lightning Ram,Colossal Sword
Lightning Ram,Curved Sword
Lightning Ram,Curved Greatsword
Lightning Ram,Katana
Lightning Ram,Great Katana
Lightning Ram,Twinblade
Lightning Ram,Backhand Blade
Lightning Ram,Thrusting Sword
Lightning Ram,Heavy Thrusting Sword
Lightning Ram,Hammer
Lightning Ram,Great Hammer
Lightning Ram,Axe
Lightning Ram,Greataxe
Lightning Ram,Flail
Lightning Ram,Spear
Lightning Ram,Great Spear
Lightning Ram,Halberd
Lightning Ram,Reaper
Lightning Ram,Fist
Lightning Ram,Hand-to-Hand
Lightning Ram,Claw
Lightning Ram,Beast Claw
Lightning Ram,Whip
Lightning Ram,Colossal Weapon
Lightning Ram,Thrusting Shield
Sacred Blade,Whip
Sacred Blade,Fist
Sacred Blade,Claw
Sacred Blade,Dagger
Sacred Blade,Straight Sword
Sacred Blade,Light Greatsword
Sacred Blade,Greatsword
Sacred Blade,Colossal Sword
Sacred Blade,Curved Sword
Sacred Blade,Curved Greatsword
Sacred Blade,Katana
Sacred Blade,Great Katana
Sacred Blade,Twinblade
Sacred Blade,Thrusting Sword
Sacred Blade,Heavy Thrusting Sword
Sacred Blade,Hammer
Sacred Blade,Great Hammer
Sacred Blade,Axe
Sacred Blade,Greataxe
Sacred Blade,Flail
Sacred Blade,Spear
Sacred Blade,Great Spear
Sacred Blade,Halberd
Sacred Blade,Reaper
Sacred Blade,Colossal Weapon
Sacred Blade,Thrusting Shield
Prayerful Strike,Axe
Prayerful Strike,Hammer
Prayerful Strike,Great Hammer
Prayerful Strike,Greataxe
Prayerful Strike,Flail
Prayerful Strike,Colossal Weapon
Sacred Ring of Light,Polearm
Sacred Ring of Light,Spear
Sacred Ring of Light,Halberd
Sacred Ring of Light,Reaper
Sacred Ring of Light,Claw
Sacred Order,AllMelee
Sacred Order,Dagger
Sacred Order,Straight Sword
Sacred Order,Greatsword
Sacred Order,Light Greatsword
Sacred Order,Colossal Sword
Sacred Order,Curved Sword
Sacred Order,Curved Greatsword
Sacred Order,Katana
Sacred Order,Great Katana
Sacred Order,Twinblade
Sacred Order,Backhand Blade
Sacred Order,Thrusting Sword
Sacred Order,Heavy Thrusting Sword
Sacred Order,Hammer
Sacred Order,Great Hammer
Sacred Order,Axe
Sacred Order,Greataxe
Sacred Order,Flail
Sacred Order,Spear
Sacred Order,Great Spear
Sacred Order,Halberd
Sacred Order,Reaper
Sacred Order,Fist
Sacred Order,Claw
Sacred Order,Beast Claw
Sacred Order,Whip
Sacred Order,Colossal Weapon
Sacred Order,Thrusting Shield
Shared Order,AllMelee
Shared Order,Dagger
Shared Order,Straight Sword
Shared Order,Greatsword
Shared Order,Light Greatsword
Shared Order,Colossal Sword
Shared Order,Curved Sword
Shared Order,Curved Greatsword
Shared Order,Katana
Shared Order,Great Katana
Shared Order,Twinblade
Shared Order,Backhand Blade
Shared Order,Thrusting Sword
Shared Order,Heavy Thrusting Sword
Shared Order,Hammer
Shared Order,Great Hammer
Shared Order,Axe
Shared Order,Greataxe
Shared Order,Flail
Shared Order,Spear
Shared Order,Great Spear
Shared Order,Halberd
Shared Order,Reaper
Shared Order,Fist
Shared Order,Claw
Shared Order,Beast Claw
Shared Order,Whip
Shared Order,Colossal Weapon
Shared Order,Thrusting Shield
Golden Land,Greataxe
Golden Land,Hammer
Golden Land,Colossal Weapon
Golden Land,Colossal Sword
Golden Land,Great Hammer
Golden Land,Great Spear
Golden Slam,AllMelee
Golden Slam,Dagger
Golden Slam,Throwing Blade
Golden Slam,Straight Sword
Golden Slam,Greatsword
Golden Slam,Light Greatsword
Golden Slam,Colossal Sword
Golden Slam,Curved Sword
Golden Slam,Curved Greatsword
Golden Slam,Katana
Golden Slam,Great Katana
Golden Slam,Twinblade
Golden Slam,Backhand Blade
Golden Slam,Thrusting Sword
Golden Slam,Heavy Thrusting Sword
Golden Slam,Hammer
Golden Slam,Great Hammer
Golden Slam,Axe
Golden Slam,Greataxe
Golden Slam,Flail
Golden Slam,Spear
Golden Slam,Great Spear
Golden Slam,Halberd
Golden Slam,Reaper
Golden Slam,Fist
Golden Slam,Hand-to-Hand
Golden Slam,Claw
Golden Slam,Beast Claw
Golden Slam,Whip
Golden Slam,Colossal Weapon
Golden Vow,AllMelee
Golden Vow,Dagger
Golden Vow,Throwing Blade
Golden Vow,Straight Sword
Golden Vow,Greatsword
Golden Vow,Light Greatsword
Golden Vow,Colossal Sword
Golden Vow,Curved Sword
Golden Vow,Curved Greatsword
Golden Vow,Katana
Golden Vow,Great Katana
Golden Vow,Twinblade
Golden Vow,Backhand Blade
Golden Vow,Thrusting Sword
Golden Vow,Heavy Thrusting Sword
Golden Vow,Hammer
Golden Vow,Great Hammer
Golden Vow,Axe
Golden Vow,Greataxe
Golden Vow,Flail
Golden Vow,Spear
Golden Vow,Great Spear
Golden Vow,Halberd
Golden Vow,Reaper
Golden Vow,Fist
Golden Vow,Hand-to-Hand
Golden Vow,Claw
Golden Vow,Beast Claw
Golden Vow,Whip
Golden Vow,Colossal Weapon
Golden Vow,Thrusting Shield
Golden Parry,Medium Shield
Vow of the Indomitable,Shield
Holy Ground,Shield
Poisonous Mist,Whip
Poisonous Mist,Fist
Poisonous Mist,Claw
Poisonous Mist,Dagger
Poisonous Mist,Straight Sword
Poisonous Mist,Greatsword
Poisonous Mist,Light Greatsword
Poisonous Mist,Colossal Sword
Poisonous Mist,Curved Sword
Poisonous Mist,Curved Greatsword
Poisonous Mist,Katana
Poisonous Mist,Great Katana
Poisonous Mist,Twinblade
Poisonous Mist,Thrusting Sword
Poisonous Mist,Heavy Thrusting Sword
Poisonous Mist,Hammer
Poisonous Mist,Great Hammer
Poisonous Mist,Axe
Poisonous Mist,Greataxe
Poisonous Mist,Flail
Poisonous Mist,Spear
Poisonous Mist,Great Spear
Poisonous Mist,Halberd
Poisonous Mist,Reaper
Poisonous Mist,Colossal Weapon
Poisonous Mist,Thrusting Shield
Poison Moth Flight,Dagger
Poison Moth Flight,Throwing Blade
Poison Moth Flight,Straight Sword
Poison Moth Flight,Light Greatsword
Poison Moth Flight,Curved Sword
Poison Moth Flight,Katana
Poison Moth Flight,Thrusting Sword
Poison Moth Flight,Backhand Blade
Blood Blade,Dagger
Blood Blade,Throwing Blade
Blood Blade,Straight Sword
Blood Blade,Light Greatsword
Blood Blade,Curved Sword
Blood Blade,Katana
Blood Blade,Twinblade
Blood Blade,Backhand Blade
Blood Blade,Thrusting Sword
Bloody Slash,Dagger
Bloody Slash,Throwing Blade
Bloody Slash,Straight Sword
Bloody Slash,Greatsword
Bloody Slash,Light Greatsword
Bloody Slash,Curved Sword
Bloody Slash,Curved Greatsword
Bloody Slash,Katana
Bloody Slash,Great Katana
Bloody Slash,Twinblade
Bloody Slash,Thrusting Sword
Blood Tax,Dagger
Blood Tax,Throwing Blade
Blood Tax,Straight Sword
Blood Tax,Greatsword
Blood Tax,Light Greatsword
Blood Tax,Katana
Blood Tax,Great Katana
Blood Tax,Twinblade
Blood Tax,Thrusting Sword
Blood Tax,Heavy Thrusting Sword
Blood Tax,Spear
Blood Tax,Great Spear
Blood Tax,Halberd
Blood Tax,Thrusting Shield
Seppuku,Polearm
Seppuku,Colossal Weapon
Seppuku,Straight Sword
Seppuku,Greatsword
Seppuku,Light Greatsword
Seppuku,Curved Sword
Seppuku,Curved Greatsword
Seppuku,Katana
Seppuku,Great Katana
Seppuku,Twinblade
Seppuku,Thrusting Sword
Seppuku,Heavy Thrusting Sword
Seppuku,Spear
Seppuku,Great Spear
Seppuku,Halberd
Ice Spear,Polearm
Ice Spear,Twinblade
Ice Spear,Spear
Ice Spear,Great Spear
Ice Spear,Halberd
Chilling Mist,Whip
Chilling Mist,Fist
Chilling Mist,Claw
Chilling Mist,Dagger
Chilling Mist,Straight Sword
Chilling Mist,Greatsword
Chilling Mist,Light Greatsword
Chilling Mist,Colossal Sword
Chilling Mist,Curved Sword
Chilling Mist,Curved Greatsword
Chilling Mist,Katana
Chilling Mist,Great Katana
Chilling Mist,Twinblade
Chilling Mist,Thrusting Sword
Chilling Mist,Heavy Thrusting Sword
Chilling Mist,Hammer
Chilling Mist,Great Hammer
Chilling Mist,Axe
Chilling Mist,Greataxe
Chilling Mist,Flail
Chilling Mist,Spear
Chilling Mist,Great Spear
Chilling Mist,Halberd
Chilling Mist,Reaper
Chilling Mist,Colossal Weapon
Chilling Mist,Thrusting Shield
Hoarfrost Stomp,AllMelee
Hoarfrost Stomp,Dagger
Hoarfrost Stomp,Throwing Blade
Hoarfrost Stomp,Straight Sword
Hoarfrost Stomp,Greatsword
Hoarfrost Stomp,Light Greatsword
Hoarfrost Stomp,Colossal Sword
Hoarfrost Stomp,Curved Sword
Hoarfrost Stomp,Curved Greatsword
Hoarfrost Stomp,Katana
Hoarfrost Stomp,Great Katana
Hoarfrost Stomp,Twinblade
Hoarfrost Stomp,Backhand Blade
Hoarfrost Stomp,Thrusting Sword
Hoarfrost Stomp,Heavy Thrusting Sword
Hoarfrost Stomp,Hammer
Hoarfrost Stomp,Great Hammer
Hoarfrost Stomp,Axe
Hoarfrost Stomp,Greataxe
Hoarfrost Stomp,Flail
Hoarfrost Stomp,Spear
Hoarfrost Stomp,Great Spear
Hoarfrost Stomp,Halberd
Hoarfrost Stomp,Reaper
Hoarfrost Stomp,Fist
Hoarfrost Stomp,Hand-to-Hand
Hoarfrost Stomp,Claw
Hoarfrost Stomp,Beast Claw
Hoarfrost Stomp,Whip
Hoarfrost Stomp,Colossal Weapon
Hoarfrost Stomp,Thrusting Shield
Spectral Lance,Polearm
Spectral Lance,Spear
Spectral Lance,Great Spear
Spectral Lance,Halberd
Lifesteal Fist,Fist
Lifesteal Fist,Claw
Lifesteal Fist,Beast Claw
Lifesteal Fist,Hand-to-Hand
White Shadow's Lure,AllMelee
White Shadow's Lure,Dagger
White Shadow's Lure,Throwing Blade
White Shadow's Lure,Straight Sword
White Shadow's Lure,Greatsword
White Shadow's Lure,Light Greatsword
White Shadow's Lure,Colossal Sword
White Shadow's Lure,Curved Sword
White Shadow's Lure,Curved Greatsword
White Shadow's Lure,Katana
White Shadow's Lure,Great Katana
White Shadow's Lure,Twinblade
White Shadow's Lure,Backhand Blade
White Shadow's Lure,Thrusting Sword
White Shadow's Lure,Heavy Thrusting Sword
White Shadow's Lure,Hammer
White Shadow's Lure,Great Hammer
White Shadow's Lure,Axe
White Shadow's Lure,Greataxe
White Shadow's Lure,Flail
White Shadow's Lure,Spear
White Shadow's Lure,Great Spear
White Shadow's Lure,Halberd
White Shadow's Lure,Reaper
White Shadow's Lure,Fist
White Shadow's Lure,Hand-to-Hand
White Shadow's Lure,Claw
White Shadow's Lure,Beast Claw
White Shadow's Lure,Whip
White Shadow's Lure,Colossal Weapon
White Shadow's Lure,Thrusting Shield
Assassin's Gambit,Straight Sword
Assassin's Gambit,Thrusting Sword
Assassin's Gambit,Dagger
Assassin's Gambit,Throwing Blade
Assassin's Gambit,Light Greatsword
Assassin's Gambit,Katana
Assassin's Gambit,Twinblade
Mighty Shot,Light Bow
Mighty Shot,Bow
Through and Through,Bow
Barrage,Bow
Sky Shot,Light Bow
Sky Shot,Bow
Enchanted Shot,Light Bow
Enchanted Shot,Bow
Rain of Arrows,Bow
Rain of Arrows,Light Bow
Parry,Dagger
Parry,Curved Sword
Parry,Thrusting Sword
Parry,Fist
Parry,Claw
Parry,Medium Shield
Parry,Small Shield
Parry,Throwing Blade
Storm Wall,Medium Shield
Shield Bash,Shield
Shield Crash,Shield
Barricade Shield,Shield
