SkillFamily,Hit,UniqueWeapon,PhysMv,MagicMv,FireMv,LtngMv,HolyMv,StatusMv,PoiseMv,StaminaCost,AtkPhys,AtkMag,AtkFire,AtkLtng,AtkHoly,AddBaseAtk,OverwriteScaling,LackingFp
Barbaric Roar 1h R2,[Great Hammer] Barbaric Roar 1h R2 #1 [1],Any,70.0,70.0,70.0,70.0,70.0,75.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Great Hammer] Barbaric Roar 1h R2 #1 [2],Any,70.0,70.0,70.0,70.0,70.0,75.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Great Hammer] Barbaric Roar 1h R2 #1 [3],Any,75.0,75.0,75.0,75.0,75.0,75.0,150.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Great Hammer] Barbaric Roar Charged 1h R2 #1 [1],Any,82.0,82.0,82.0,82.0,82.0,85.0,170.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Great Hammer] Barbaric Roar Charged 1h R2 #1 [2],Any,82.0,82.0,82.0,82.0,82.0,85.0,170.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Great Hammer] Barbaric Roar Charged 1h R2 #1 [3],Any,86.0,86.0,86.0,86.0,86.0,85.0,240.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Great Hammer] Barbaric Roar 1h R2 #2,Any,135.0,135.0,135.0,135.0,135.0,150.0,200.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Great Hammer] Barbaric Roar Charged 1h R2 #2,Any,195.0,195.0,195.0,195.0,195.0,200.0,600.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Great Hammer] Barbaric Roar 2h R2 #1 [1],Any,75.0,75.0,75.0,75.0,75.0,75.0,120.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Great Hammer] Barbaric Roar 2h R2 #1 [2],Any,75.0,75.0,75.0,75.0,75.0,75.0,120.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Great Hammer] Barbaric Roar 2h R2 #1 [3],Any,80.0,80.0,80.0,80.0,80.0,75.0,200.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Great Hammer] Barbaric Roar Charged 2h R2 #1 [1],Any,87.0,87.0,87.0,87.0,87.0,85.0,200.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Great Hammer] Barbaric Roar Charged 2h R2 #1 [2],Any,87.0,87.0,87.0,87.0,87.0,85.0,200.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Great Hammer] Barbaric Roar Charged 2h R2 #1 [3],Any,91.0,91.0,91.0,91.0,91.0,85.0,300.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Great Hammer] Barbaric Roar 2h R2 #2,Any,140.0,140.0,140.0,140.0,140.0,180.0,240.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Great Hammer] Barbaric Roar Charged 2h R2 #2,Any,200.0,200.0,200.0,200.0,200.0,240.0,660.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Colossal Weapon] Barbaric Roar 1h R2 #1 [1],Any,70.0,70.0,70.0,70.0,70.0,80.0,100.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Colossal Weapon] Barbaric Roar 1h R2 #1 [2],Any,70.0,70.0,70.0,70.0,70.0,80.0,100.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Colossal Weapon] Barbaric Roar 1h R2 #1 [3],Any,75.0,75.0,75.0,75.0,75.0,80.0,150.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Colossal Weapon] Barbaric Roar Charged 1h R2 #1 [1],Any,82.0,82.0,82.0,82.0,82.0,90.0,170.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Colossal Weapon] Barbaric Roar Charged 1h R2 #1 [2],Any,82.0,82.0,82.0,82.0,82.0,90.0,170.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Colossal Weapon] Barbaric Roar Charged 1h R2 #1 [3],Any,86.0,86.0,86.0,86.0,86.0,90.0,240.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Colossal Weapon] Barbaric Roar 1h R2 #2,Any,135.0,135.0,135.0,135.0,135.0,150.0,200.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Colossal Weapon] Barbaric Roar Charged 1h R2 #2,Any,210.0,210.0,210.0,210.0,210.0,250.0,600.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Colossal Weapon] Barbaric Roar 2h R2 #1 [1],Any,75.0,75.0,75.0,75.0,75.0,80.0,120.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Colossal Weapon] Barbaric Roar 2h R2 #1 [2],Any,75.0,75.0,75.0,75.0,75.0,80.0,120.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Colossal Weapon] Barbaric Roar 2h R2 #1 [3],Any,80.0,80.0,80.0,80.0,80.0,80.0,200.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Colossal Weapon] Barbaric Roar Charged 2h R2 #1 [1],Any,87.0,87.0,87.0,87.0,87.0,90.0,200.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Colossal Weapon] Barbaric Roar Charged 2h R2 #1 [2],Any,87.0,87.0,87.0,87.0,87.0,90.0,200.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Colossal Weapon] Barbaric Roar Charged 2h R2 #1 [3],Any,91.0,91.0,91.0,91.0,91.0,90.0,300.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Colossal Weapon] Barbaric Roar 2h R2 #2,Any,140.0,140.0,140.0,140.0,140.0,180.0,240.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Colossal Weapon] Barbaric Roar Charged 2h R2 #2,Any,220.0,220.0,220.0,220.0,220.0,300.0,660.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Spear] Barbaric Roar 1h R2 #1 [1],Any,70.0,70.0,70.0,70.0,70.0,65.0,100.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Spear] Barbaric Roar 1h R2 #1 [2],Any,70.0,70.0,70.0,70.0,70.0,65.0,100.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Spear] Barbaric Roar 1h R2 #1 [3],Any,75.0,75.0,75.0,75.0,75.0,65.0,150.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Spear] Barbaric Roar Charged 1h R2 #1 [1],Any,82.0,82.0,82.0,82.0,82.0,80.0,150.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Spear] Barbaric Roar Charged 1h R2 #1 [2],Any,82.0,82.0,82.0,82.0,82.0,80.0,150.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Spear] Barbaric Roar Charged 1h R2 #1 [3],Any,86.0,86.0,86.0,86.0,86.0,80.0,200.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Spear] Barbaric Roar 1h R2 #2,Any,135.0,135.0,135.0,135.0,135.0,150.0,200.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Spear] Barbaric Roar Charged 1h R2 #2,Any,195.0,195.0,195.0,195.0,195.0,200.0,600.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Spear] Barbaric Roar 2h R2 #1 [1],Any,75.0,75.0,75.0,75.0,75.0,65.0,120.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Spear] Barbaric Roar 2h R2 #1 [2],Any,75.0,75.0,75.0,75.0,75.0,65.0,120.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Spear] Barbaric Roar 2h R2 #1 [3],Any,80.0,80.0,80.0,80.0,80.0,65.0,180.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Spear] Barbaric Roar Charged 2h R2 #1 [1],Any,87.0,87.0,87.0,87.0,87.0,80.0,180.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Spear] Barbaric Roar Charged 2h R2 #1 [2],Any,87.0,87.0,87.0,87.0,87.0,80.0,180.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Spear] Barbaric Roar Charged 2h R2 #1 [3],Any,91.0,91.0,91.0,91.0,91.0,80.0,250.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Spear] Barbaric Roar 2h R2 #2,Any,140.0,140.0,140.0,140.0,140.0,180.0,240.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Spear] Barbaric Roar Charged 2h R2 #2,Any,200.0,200.0,200.0,200.0,200.0,240.0,660.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Great Spear] Barbaric Roar 1h R2 #1 [1],Any,70.0,70.0,70.0,70.0,70.0,65.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Great Spear] Barbaric Roar 1h R2 #1 [2],Any,70.0,70.0,70.0,70.0,70.0,65.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Great Spear] Barbaric Roar 1h R2 #1 [3],Any,75.0,75.0,75.0,75.0,75.0,65.0,150.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Great Spear] Barbaric Roar Charged 1h R2 #1 [1],Any,82.0,82.0,82.0,82.0,82.0,80.0,150.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Great Spear] Barbaric Roar Charged 1h R2 #1 [2],Any,82.0,82.0,82.0,82.0,82.0,80.0,150.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Great Spear] Barbaric Roar Charged 1h R2 #1 [3],Any,86.0,86.0,86.0,86.0,86.0,80.0,200.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Great Spear] Barbaric Roar 1h R2 #2,Any,135.0,135.0,135.0,135.0,135.0,150.0,200.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Great Spear] Barbaric Roar Charged 1h R2 #2,Any,195.0,195.0,195.0,195.0,195.0,200.0,600.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Great Spear] Barbaric Roar 2h R2 #1 [1],Any,75.0,75.0,75.0,75.0,75.0,65.0,120.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Great Spear] Barbaric Roar 2h R2 #1 [2],Any,75.0,75.0,75.0,75.0,75.0,65.0,120.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Great Spear] Barbaric Roar 2h R2 #1 [3],Any,80.0,80.0,80.0,80.0,80.0,65.0,180.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Great Spear] Barbaric Roar Charged 2h R2 #1 [1],Any,87.0,87.0,87.0,87.0,87.0,80.0,180.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Great Spear] Barbaric Roar Charged 2h R2 #1 [2],Any,87.0,87.0,87.0,87.0,87.0,80.0,180.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Great Spear] Barbaric Roar Charged 2h R2 #1 [3],Any,91.0,91.0,91.0,91.0,91.0,80.0,250.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Great Spear] Barbaric Roar 2h R2 #2,Any,140.0,140.0,140.0,140.0,140.0,180.0,240.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Great Spear] Barbaric Roar Charged 2h R2 #2,Any,200.0,200.0,200.0,200.0,200.0,240.0,660.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Halberd] Barbaric Roar 1h R2 #1 [1],Any,70.0,70.0,70.0,70.0,70.0,65.0,100.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Halberd] Barbaric Roar 1h R2 #1 [2],Any,70.0,70.0,70.0,70.0,70.0,65.0,100.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Halberd] Barbaric Roar 1h R2 #1 [3],Any,75.0,75.0,75.0,75.0,75.0,65.0,150.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Halberd] Barbaric Roar Charged 1h R2 #1 [1],Any,82.0,82.0,82.0,82.0,82.0,80.0,150.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Halberd] Barbaric Roar Charged 1h R2 #1 [2],Any,82.0,82.0,82.0,82.0,82.0,80.0,150.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Halberd] Barbaric Roar Charged 1h R2 #1 [3],Any,86.0,86.0,86.0,86.0,86.0,80.0,200.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Halberd] Barbaric Roar 1h R2 #2,Any,135.0,135.0,135.0,135.0,135.0,150.0,200.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Halberd] Barbaric Roar Charged 1h R2 #2,Any,195.0,195.0,195.0,195.0,195.0,200.0,600.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Halberd] Barbaric Roar 2h R2 #1 [1],Any,75.0,75.0,75.0,75.0,75.0,65.0,120.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Halberd] Barbaric Roar 2h R2 #1 [2],Any,75.0,75.0,75.0,75.0,75.0,65.0,120.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Halberd] Barbaric Roar 2h R2 #1 [3],Any,80.0,80.0,80.0,80.0,80.0,65.0,180.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Halberd] Barbaric Roar Charged 2h R2 #1 [1],Any,87.0,87.0,87.0,87.0,87.0,80.0,180.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Halberd] Barbaric Roar Charged 2h R2 #1 [2],Any,87.0,87.0,87.0,87.0,87.0,80.0,180.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Halberd] Barbaric Roar Charged 2h R2 #1 [3],Any,91.0,91.0,91.0,91.0,91.0,80.0,250.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Halberd] Barbaric Roar 2h R2 #2,Any,140.0,140.0,140.0,140.0,140.0,180.0,240.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Halberd] Barbaric Roar Charged 2h R2 #2,Any,200.0,200.0,200.0,200.0,200.0,240.0,660.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Reaper] Barbaric Roar 1h R2 #1 [1],Any,70.0,70.0,70.0,70.0,70.0,65.0,100.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Reaper] Barbaric Roar 1h R2 #1 [2],Any,70.0,70.0,70.0,70.0,70.0,65.0,100.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Reaper] Barbaric Roar 1h R2 #1 [3],Any,75.0,75.0,75.0,75.0,75.0,65.0,150.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Reaper] Barbaric Roar Charged 1h R2 #1 [1],Any,82.0,82.0,82.0,82.0,82.0,80.0,150.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Reaper] Barbaric Roar Charged 1h R2 #1 [2],Any,82.0,82.0,82.0,82.0,82.0,80.0,150.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Reaper] Barbaric Roar Charged 1h R2 #1 [3],Any,86.0,86.0,86.0,86.0,86.0,80.0,200.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Reaper] Barbaric Roar 1h R2 #2,Any,135.0,135.0,135.0,135.0,135.0,150.0,200.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Reaper] Barbaric Roar Charged 1h R2 #2,Any,195.0,195.0,195.0,195.0,195.0,200.0,600.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Reaper] Barbaric Roar 2h R2 #1 [1],Any,75.0,75.0,75.0,75.0,75.0,65.0,120.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Reaper] Barbaric Roar 2h R2 #1 [2],Any,75.0,75.0,75.0,75.0,75.0,65.0,120.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Reaper] Barbaric Roar 2h R2 #1 [3],Any,80.0,80.0,80.0,80.0,80.0,65.0,180.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Reaper] Barbaric Roar Charged 2h R2 #1 [1],Any,87.0,87.0,87.0,87.0,87.0,80.0,180.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Reaper] Barbaric Roar Charged 2h R2 #1 [2],Any,87.0,87.0,87.0,87.0,87.0,80.0,180.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Reaper] Barbaric Roar Charged 2h R2 #1 [3],Any,91.0,91.0,91.0,91.0,91.0,80.0,250.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Reaper] Barbaric Roar 2h R2 #2,Any,140.0,140.0,140.0,140.0,140.0,180.0,240.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Reaper] Barbaric Roar Charged 2h R2 #2,Any,200.0,200.0,200.0,200.0,200.0,240.0,660.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Fist] Barbaric Roar 1h R2 #1 [1],Any,73.0,73.0,73.0,73.0,73.0,65.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Fist] Barbaric Roar 1h R2 #1 [2],Any,73.0,73.0,73.0,73.0,73.0,65.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Fist] Barbaric Roar 1h R2 #1 [3],Any,78.0,78.0,78.0,78.0,78.0,65.0,150.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Fist] Barbaric Roar Charged 1h R2 #1 [1],Any,86.0,86.0,86.0,86.0,86.0,80.0,150.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Fist] Barbaric Roar Charged 1h R2 #1 [2],Any,86.0,86.0,86.0,86.0,86.0,80.0,150.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Fist] Barbaric Roar Charged 1h R2 #1 [3],Any,90.0,90.0,90.0,90.0,90.0,80.0,200.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Fist] Barbaric Roar 1h R2 #2 [1],Any,89.0,89.0,89.0,89.0,89.0,80.0,100.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Fist] Barbaric Roar 1h R2 #2 [2],Any,110.0,110.0,110.0,110.0,110.0,100.0,120.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Fist] Barbaric Roar Charged 1h R2 #2 [1],Any,105.0,105.0,105.0,105.0,105.0,100.0,120.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Fist] Barbaric Roar Charged 1h R2 #2 [2],Any,131.0,131.0,131.0,131.0,131.0,135.0,200.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Fist] Barbaric Roar 2h R2 #1 [1],Any,93.0,93.0,93.0,93.0,93.0,65.0,120.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Fist] Barbaric Roar 2h R2 #1 [2],Any,93.0,93.0,93.0,93.0,93.0,65.0,120.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Fist] Barbaric Roar 2h R2 #1 [3],Any,96.0,96.0,96.0,96.0,96.0,65.0,180.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Fist] Barbaric Roar Charged 2h R2 #1 [1],Any,97.0,97.0,97.0,97.0,97.0,80.0,180.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Fist] Barbaric Roar Charged 2h R2 #1 [2],Any,97.0,97.0,97.0,97.0,97.0,80.0,180.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Fist] Barbaric Roar Charged 2h R2 #1 [3],Any,111.0,111.0,111.0,111.0,111.0,80.0,250.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Fist] Barbaric Roar 2h R2 #2 [1],Any,99.0,99.0,99.0,99.0,99.0,80.0,120.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Fist] Barbaric Roar 2h R2 #2 [2],Any,121.0,121.0,121.0,121.0,121.0,100.0,140.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Fist] Barbaric Roar Charged 2h R2 #2 [1],Any,115.0,115.0,115.0,115.0,115.0,100.0,150.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 2h R2,[Fist] Barbaric Roar Charged 2h R2 #2 [2],Any,145.0,145.0,145.0,145.0,145.0,135.0,250.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Hand-to-Hand] Barbaric Roar 1h R2 #1 [1],Any,73.0,73.0,73.0,73.0,73.0,65.0,100.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Hand-to-Hand] Barbaric Roar 1h R2 #1 [2],Any,73.0,73.0,73.0,73.0,73.0,65.0,100.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Hand-to-Hand] Barbaric Roar 1h R2 #1 [3],Any,78.0,78.0,78.0,78.0,78.0,65.0,150.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Hand-to-Hand] Barbaric Roar Charged 1h R2 #1 [1],Any,86.0,86.0,86.0,86.0,86.0,80.0,150.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Hand-to-Hand] Barbaric Roar Charged 1h R2 #1 [2],Any,86.0,86.0,86.0,86.0,86.0,80.0,150.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Hand-to-Hand] Barbaric Roar Charged 1h R2 #1 [3],Any,90.0,90.0,90.0,90.0,90.0,80.0,200.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Hand-to-Hand] Barbaric Roar 1h R2 #2 [1],Any,89.0,89.0,89.0,89.0,89.0,80.0,100.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 1h R2,[Hand-to-Hand] Barbaric Roar 1h R2 #2 [2],Any,110.0,110.0,110.0,110.0,110.0,100.0,120.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Hand-to-Hand] Barbaric Roar Charged 1h R2 #2 [1],Any,105.0,105.0,105.0,105.0,105.0,100.0,120.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar Charged 1h R2,[Hand-to-Hand] Barbaric Roar Charged 1h R2 #2 [2],Any,131.0,131.0,131.0,131.0,131.0,135.0,200.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
Barbaric Roar 2h R2,[Hand-to-Hand] Barbaric Roar 2h R2 #1 [1],Any,93.0,93.0,93.0,93.0,93.0,65.0,120.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
