Location,Name,ShortName,IsDlc,Health,DefPhys,DefStrike,DefSlash,DefPierce,DefMagic,DefFire,DefLtng,DefHoly,NegPhys,NegStrike,NegSlash,NegPierce,NegMagic,NegFire,NegLtng,NegHoly,ResPoison,ResRot,ResBleed,ResFrost,ResSleep,ResMadness,ResDeath,Poise
Lakeside Crystal Cave,Bloodhound Knight [Boss],Bloodhound Knight,0.0,1985.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,10.0,10.0,10.0,0.0,0.0,0.0,-20.0,0.0,324.0,324.0,324.0,324.0,235.0,9999.0,9999.0,65.0
"Leyndell, Ashen Capital","Godfrey, First Elden Lord [Boss]","Godfrey, First Elden Lord",0.0,11831.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,10.0,10.0,10.0,0.0,20.0,20.0,0.0,40.0,367.0,367.0,601.0,601.0,601.0,9999.0,9999.0,120.0
"Leyndell, Ashen Capital",Hoarah Loux [Boss],Hoarah Loux,0.0,21903.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,40.0,367.0,367.0,601.0,601.0,1292.0,9999.0,9999.0,120.0
"Leyndell, Royal Capital","Godfrey, First Elden Lord [Boss]","Godfrey, First Elden Lord",0.0,7099.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,10.0,10.0,10.0,0.0,20.0,20.0,0.0,40.0,9999.0,9999.0,9999.0,9999.0,552.0,9999.0,9999.0,120.0
"Leyndell, Royal Capital","Morgott, the Omen King [Boss]","Morgott, the Omen King",0.0,10399.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,40.0,337.0,337.0,337.0,337.0,552.0,9999.0,9999.0,80.0
"Limgrave - Agheel Lake North, Murkwater Cave Entrance",Night's Cavalry (Glaive) [Boss],Night's Cavalry (Glaive),0.0,1665.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,35.0,35.0,35.0,10.0,40.0,40.0,20.0,40.0,316.0,316.0,517.0,517.0,9999.0,9999.0,9999.0,80.0
"Limgrave - Agheel Lake South, Forlorn Hound Evergaol",Bloodhound Knight Darriwill [Boss],Bloodhound Knight Darriwill,0.0,1450.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,10.0,10.0,10.0,0.0,0.0,0.0,-20.0,0.0,316.0,316.0,316.0,316.0,229.0,9999.0,9999.0,65.0
"Limgrave - Church of Elleh, Stranded Graveyard Exit",Tree Sentinel [Boss],Tree Sentinel,0.0,2889.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,10.0,10.0,35.0,10.0,20.0,40.0,0.0,40.0,316.0,316.0,517.0,517.0,316.0,9999.0,9999.0,80.0
Limgrave - Dragon-Burnt Ruins,Flying Dragon Agheel [Boss],Flying Dragon Agheel,0.0,3200.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,35.0,35.0,35.0,10.0,40.0,40.0,40.0,40.0,526.0,526.0,526.0,526.0,9999.0,9999.0,9999.0,120.0
"Limgrave - Gatefront, Stormhill Evergaol, Groveside Cave Entrance, Limgrave Tunnels Entrance",Crucible Knight (Greatsword) [Boss],Crucible Knight (Greatsword),0.0,2782.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,35.0,35.0,35.0,35.0,40.0,20.0,20.0,40.0,517.0,517.0,9999.0,517.0,517.0,9999.0,9999.0,80.0
Limgrave - Summonwater Village,Tibia Mariner [Boss],Tibia Mariner,0.0,3176.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,10.0,-40.0,10.0,35.0,20.0,20.0,40.0,-40.0,9999.0,316.0,9999.0,9999.0,9999.0,9999.0,9999.0,80.0
Limgrave - Waypoint Ruins,Mad Pumpkin Head (Flail) [Boss],Mad Pumpkin Head (Flail),0.0,1328.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,0.0,10.0,-10.0,0.0,0.0,0.0,-20.0,0.0,226.0,226.0,169.0,169.0,310.0,9999.0,9999.0,65.0
Limgrave Tunnels,Stonedigger Troll [Boss],Stonedigger Troll,0.0,1295.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,35.0,10.0,35.0,35.0,0.0,20.0,20.0,0.0,508.0,310.0,310.0,310.0,40.0,9999.0,9999.0,45.0
"Liurnia of the Lakes - Behind Caria Manor, Royal Grave Evergaol, Part of Ravine",Onyx Lord [Boss],Onyx Lord,0.0,4058.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,10.0,10.0,10.0,10.0,20.0,20.0,20.0,20.0,329.0,329.0,329.0,9999.0,239.0,9999.0,9999.0,65.0
Liurnia of the Lakes - Caria Manor,Royal Knight Loretta [Boss],Royal Knight Loretta,0.0,4214.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,10.0,10.0,10.0,10.0,40.0,40.0,0.0,20.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,80.0
Liurnia of the Lakes - Church of Vows,Bell Bearing Hunter [Boss],Bell Bearing Hunter,0.0,4050.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,35.0,35.0,35.0,10.0,40.0,40.0,20.0,40.0,329.0,329.0,539.0,539.0,329.0,9999.0,9999.0,80.0
"Liurnia of the Lakes - Cuckoo's Evergaol, West of Meeting Place","Bols, Carian Knight [Boss]","Bols, Carian Knight",0.0,5109.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,0.0,0.0,-10.0,0.0,20.0,0.0,0.0,0.0,239.0,239.0,239.0,329.0,42.0,9999.0,9999.0,65.0
Liurnia of the Lakes - Gate Town Northwest,Death Rite Bird [Boss],Death Rite Bird,0.0,6577.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,10.0,-40.0,10.0,35.0,20.0,20.0,40.0,-40.0,9999.0,539.0,9999.0,9999.0,9999.0,9999.0,9999.0,120.0
"Liurnia of the Lakes - Jarburg, Divine Tower of Liurnia Entrance",Tibia Mariner [Boss],Tibia Mariner,0.0,5155.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,10.0,-40.0,10.0,35.0,20.0,20.0,40.0,-40.0,9999.0,329.0,9999.0,9999.0,9999.0,9999.0,9999.0,80.0
Liurnia of the Lakes - Liurnia Highway Far North,Night's Cavalry [Boss],Night's Cavalry,0.0,2704.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,35.0,35.0,35.0,10.0,40.0,40.0,20.0,40.0,329.0,329.0,539.0,539.0,9999.0,9999.0,9999.0,80.0
"Liurnia of the Lakes - Meeting Place, Academy Crystal Cave Entrance",Glintstone Dragon Smarag [Boss],Glintstone Dragon Smarag,0.0,6069.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,35.0,35.0,35.0,10.0,80.0,40.0,40.0,40.0,548.0,548.0,548.0,548.0,9999.0,9999.0,9999.0,120.0
"Liurnia of the Lakes - Minor Erdtree, Road's End Catacombs Entrance",Erdtree Avatar [Boss],Erdtree Avatar,0.0,4690.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,10.0,0.0,10.0,10.0,20.0,-40.0,20.0,40.0,329.0,329.0,9999.0,239.0,9999.0,9999.0,9999.0,120.0
"Liurnia of the Lakes - Northern Liurnia Lake Shore, Kingsrealm Ruins",Royal Revenant [Boss],Royal Revenant,0.0,3077.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,40.0,324.0,324.0,324.0,324.0,9999.0,9999.0,9999.0,70.0
"Liurnia of the Lakes - Ranni's Rise, Seluvis's Rise",Glintstone Dragon Adula [Boss],Glintstone Dragon Adula,0.0,4405.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,35.0,35.0,35.0,10.0,80.0,40.0,40.0,40.0,539.0,539.0,539.0,539.0,9999.0,9999.0,9999.0,120.0
"Liurnia of the Lakes - Scenic Isle, Laskyar Ruins",Death Rite Bird [Boss],Death Rite Bird,0.0,5588.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,10.0,-40.0,10.0,35.0,20.0,20.0,40.0,-40.0,9999.0,539.0,9999.0,9999.0,9999.0,9999.0,9999.0,120.0
Liurnia of the Lakes - Village of the Albinaurics; Moonlight Altar - Moonfolk Ruins,Glintstone Dragon Adula [Boss],Glintstone Dragon Adula,0.0,11550.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,35.0,35.0,35.0,10.0,80.0,40.0,40.0,40.0,627.0,627.0,627.0,627.0,9999.0,9999.0,9999.0,120.0
Minor Erdtree Catacombs,Burial Watchdog (Scepter) [Boss],Burial Watchdog (Scepter),0.0,2531.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,35.0,10.0,35.0,35.0,40.0,40.0,40.0,40.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,80.0
Minor Erdtree Catacombs,Burial Watchdog (Sword) [Boss],Burial Watchdog (Sword),0.0,2531.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,35.0,10.0,35.0,35.0,40.0,40.0,40.0,40.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,80.0
Miquella's Haligtree,"Loretta, Knight of the Haligtree [Boss]","Loretta, Knight of the Haligtree",0.0,13397.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,10.0,10.0,10.0,10.0,40.0,40.0,0.0,20.0,399.0,399.0,653.0,653.0,399.0,9999.0,9999.0,80.0
Miquella's Haligtree,"Malenia, Blade of Miquella [Boss]","Malenia, Blade of Miquella",0.0,18473.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,10.0,10.0,10.0,10.0,20.0,0.0,20.0,40.0,1481.0,1481.0,420.0,306.0,688.0,9999.0,9999.0,80.0
Miquella's Haligtree,"Malenia, Goddess of Rot [Boss]","Malenia, Goddess of Rot",0.0,18473.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,10.0,10.0,10.0,10.0,20.0,0.0,20.0,40.0,1481.0,1481.0,420.0,306.0,688.0,9999.0,9999.0,80.0
Mohgwyn Palace,"Mohg, Lord of Blood [Boss]","Mohg, Lord of Blood",0.0,18389.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,10.0,10.0,10.0,10.0,40.0,80.0,40.0,40.0,653.0,653.0,290.0,653.0,1406.0,9999.0,9999.0,110.0
Moonlight Altar - Cathedral of Manus Celes,Omenkiller [Boss],Omenkiller,0.0,2306.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,0.0,0.0,0.0,0.0,20.0,40.0,20.0,20.0,539.0,539.0,239.0,239.0,179.0,9999.0,9999.0,75.0
Moonlight Altar - Ringleader's Evergaol,"Alecto, Black Knife Ringleader [Boss]","Alecto, Black Knife Ringleader",0.0,17482.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,10.0,10.0,10.0,35.0,20.0,20.0,20.0,40.0,9999.0,9999.0,9999.0,351.0,9999.0,9999.0,9999.0,80.0
Morne Tunnel,Scaly Misbegotten [Boss],Scaly Misbegotten,0.0,1360.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,0.0,0.0,10.0,-10.0,0.0,-20.0,0.0,0.0,227.0,227.0,227.0,227.0,227.0,9999.0,9999.0,65.0
Mountaintops of the Giants - Before Grand Lift of Rold,Black Blade Kindred (Greatsword) [Boss],Black Blade Kindred (Greatsword),0.0,8452.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,10.0,0.0,35.0,35.0,20.0,40.0,40.0,80.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,110.0
Mountaintops of the Giants - Forbidden Lands Midway,Night's Cavalry (Glaive) [Boss],Night's Cavalry (Glaive),0.0,6602.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,35.0,35.0,35.0,10.0,40.0,40.0,20.0,40.0,345.0,345.0,565.0,565.0,9999.0,9999.0,9999.0,80.0
"Mountaintops of the Giants - Shack of the Lofty; Consecrated Snowfield - Minor Erdtree, Albinauric Rise, Cave of the Forlorn Entrance",Great Wyrm Theodorix [Boss],Great Wyrm Theodorix,0.0,25649.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,10.0,10.0,35.0,10.0,40.0,80.0,40.0,40.0,653.0,653.0,653.0,1406.0,290.0,9999.0,9999.0,120.0
"Mountaintops of the Giants - South Castle Sol, Snow Valley Ruins Overlook",Commander Niall [Boss],Commander Niall,0.0,15541.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,10.0,10.0,35.0,0.0,20.0,20.0,20.0,20.0,343.0,343.0,343.0,343.0,343.0,9999.0,9999.0,90.0
Mountaintops of the Giants - West of Castle Sol; Consecrated Snowfield - North of Minor Erdtree,Death Rite Bird [Boss],Death Rite Bird,0.0,16059.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,10.0,-40.0,10.0,35.0,20.0,20.0,40.0,-40.0,9999.0,565.0,9999.0,9999.0,9999.0,9999.0,9999.0,120.0
Mountaintops of the Giants - West of Castle Sol; Consecrated Snowfield - North of Minor Erdtree,Putrid Avatar [Boss],Putrid Avatar,0.0,12569.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,10.0,0.0,10.0,10.0,20.0,-100.0,20.0,40.0,9999.0,9999.0,9999.0,399.0,9999.0,9999.0,9999.0,120.0
"Mountaintops of the Giants - Whiteridge Road, Minor Erdtree",Erdtree Avatar [Boss],Erdtree Avatar,0.0,11452.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,10.0,0.0,10.0,10.0,20.0,-40.0,20.0,40.0,345.0,345.0,9999.0,251.0,9999.0,9999.0,9999.0,120.0
"Mt. Gelmir - Minor Erdtree, Seethewater Cave Entrance",Ulcerated Tree Spirit [Boss],Ulcerated Tree Spirit,0.0,11191.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,0.0,0.0,0.0,0.0,20.0,-20.0,20.0,40.0,552.0,552.0,552.0,245.0,9999.0,9999.0,9999.0,120.0
"Mt. Gelmir - Ninth Mt. Gelmir Campsite, Road of Iniquity, Volcano Manor Entrance",Full-Grown Fallingstar Beast [Boss],Full-Grown Fallingstar Beast,0.0,13010.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,35.0,35.0,35.0,35.0,20.0,20.0,20.0,20.0,552.0,552.0,9999.0,9999.0,9999.0,9999.0,9999.0,100.0
"Mt. Gelmir - Primeval Sorcerer Azur, Gelmir Hero's Grave Entrance",Demi-Human Queen [Boss],Demi-Human Queen,0.0,7515.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,0.0,0.0,-10.0,0.0,0.0,-20.0,0.0,0.0,184.0,184.0,245.0,245.0,245.0,9999.0,9999.0,80.0
Mt. Gelmir - Seethewater Terminus,Magma Wyrm [Boss],Magma Wyrm,0.0,12243.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,10.0,10.0,35.0,10.0,40.0,100.0,40.0,40.0,552.0,552.0,552.0,1188.0,245.0,9999.0,9999.0,120.0
Murkwater Catacombs,Grave Warden Duelist [Boss],Grave Warden Duelist,0.0,2190.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,226.0,226.0,169.0,226.0,226.0,9999.0,9999.0,65.0
"Nokron, Eternal City - Boss",Ancestor Spirit [Boss],Ancestor Spirit,0.0,6301.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,0.0,0.0,-10.0,0.0,20.0,-20.0,0.0,-20.0,1169.0,1169.0,1169.0,1169.0,9999.0,9999.0,9999.0,120.0
Northeast Mountaintops,Borealis the Freezing Fog [Boss],Borealis the Freezing Fog,0.0,11268.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,35.0,10.0,80.0,80.0,40.0,40.0,40.0,40.0,601.0,601.0,601.0,1292.0,9999.0,9999.0,9999.0,120.0
Old Altus Tunnel,Stonedigger Troll [Boss],Stonedigger Troll,0.0,3050.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,35.0,10.0,35.0,35.0,0.0,20.0,20.0,0.0,539.0,329.0,329.0,329.0,42.0,9999.0,9999.0,45.0
Perfumer's Grotto,Miranda the Blighted Bloom [Boss],Miranda the Blighted Bloom,0.0,5212.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,0.0,35.0,-40.0,0.0,0.0,-40.0,40.0,40.0,1159.0,539.0,539.0,134.0,239.0,9999.0,9999.0,100.0
Perfumer's Grotto,Omenkiller [Boss],Omenkiller,0.0,2306.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,0.0,0.0,0.0,0.0,20.0,40.0,20.0,20.0,539.0,539.0,239.0,239.0,179.0,9999.0,9999.0,75.0
Raya Lucaria Crystal Tunnel,Crystalian (Ringblade) [Boss],Crystalian (Ringblade),0.0,1595.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,91.0,10.0,93.5,93.5,94.0,94.0,94.0,94.0,530.0,530.0,9999.0,530.0,9999.0,9999.0,9999.0,70.0
Raya Lucaria Crystal Tunnel,Crystalian (Ringblade) [Boss] [Cracked],Crystalian (Ringblade) [Cracked],0.0,1595.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,10.0,10.0,35.0,35.0,40.0,40.0,40.0,40.0,530.0,530.0,9999.0,530.0,9999.0,9999.0,9999.0,70.0
Road's End Catacombs,Spiritcaller Snail [Boss],Spiritcaller Snail,0.0,1722.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,-10.0,-10.0,-40.0,-10.0,40.0,0.0,-20.0,0.0,176.0,176.0,176.0,132.0,132.0,9999.0,9999.0,60.0
Ruin-Strewn Precipice,Magma Wyrm Makar [Boss],Magma Wyrm Makar,0.0,7141.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,10.0,10.0,35.0,10.0,40.0,80.0,40.0,40.0,534.0,534.0,534.0,1150.0,237.0,9999.0,9999.0,120.0
Sage's Cave,Black Knife Assassin [Boss],Black Knife Assassin,0.0,3929.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,10.0,10.0,10.0,35.0,20.0,20.0,20.0,40.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,80.0
Sainted Hero's Grave,Ancient Hero of Zamor [Boss],Ancient Hero of Zamor,0.0,3811.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,10.0,10.0,10.0,0.0,0.0,-20.0,-20.0,0.0,329.0,329.0,539.0,1159.0,239.0,9999.0,9999.0,80.0
Seethewater Cave,Kindred of Rot [Boss],Kindred of Rot,0.0,2034.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,0.0,0.0,10.0,0.0,0.0,-20.0,0.0,0.0,543.0,543.0,181.0,181.0,181.0,9999.0,9999.0,30.0
Seethewater Cave,Kindred of Rot [Boss],Kindred of Rot,0.0,2034.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,0.0,0.0,10.0,0.0,0.0,-20.0,0.0,0.0,543.0,543.0,181.0,181.0,181.0,9999.0,9999.0,30.0
Sellia Crystal Tunnel,Fallingstar Beast [Boss],Fallingstar Beast,0.0,4554.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,35.0,35.0,35.0,35.0,20.0,20.0,20.0,20.0,534.0,534.0,9999.0,9999.0,9999.0,9999.0,9999.0,100.0
Sellia Hideaway,Putrid Crystalian (Ringblade) [Boss],Putrid Crystalian (Ringblade),0.0,3358.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,91.0,10.0,93.5,93.5,94.0,94.0,94.0,94.0,1150.0,9999.0,9999.0,534.0,9999.0,9999.0,9999.0,70.0
Sellia Hideaway,Putrid Crystalian (Ringblade) [Boss] [Cracked],Putrid Crystalian (Ringblade) [Cracked],0.0,3358.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,10.0,10.0,35.0,35.0,40.0,40.0,40.0,40.0,1150.0,9999.0,9999.0,534.0,9999.0,9999.0,9999.0,70.0
Sellia Hideaway,Putrid Crystalian (Spear) [Boss],Putrid Crystalian (Spear),0.0,3358.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,91.0,10.0,93.5,93.5,94.0,94.0,94.0,94.0,1150.0,9999.0,9999.0,534.0,9999.0,9999.0,9999.0,70.0
Sellia Hideaway,Putrid Crystalian (Spear) [Boss] [Cracked],Putrid Crystalian (Spear) [Cracked],0.0,3358.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,10.0,10.0,35.0,35.0,40.0,40.0,40.0,40.0,1150.0,9999.0,9999.0,534.0,9999.0,9999.0,9999.0,70.0
Sellia Hideaway,Putrid Crystalian (Staff) [Boss],Putrid Crystalian (Staff),0.0,3358.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,91.0,10.0,93.5,93.5,94.0,94.0,94.0,94.0,1150.0,9999.0,9999.0,534.0,9999.0,9999.0,9999.0,70.0
Sellia Hideaway,Putrid Crystalian (Staff) [Boss] [Cracked],Putrid Crystalian (Staff) [Cracked],0.0,3358.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,10.0,10.0,35.0,35.0,40.0,40.0,40.0,40.0,1150.0,9999.0,9999.0,534.0,9999.0,9999.0,9999.0,70.0
Siofra River,Dragonkin Soldier [Boss],Dragonkin Soldier,0.0,5758.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,10.0,10.0,0.0,10.0,20.0,20.0,40.0,20.0,552.0,552.0,552.0,1188.0,9999.0,9999.0,9999.0,120.0
Siofra River,Valiant Gargoyle (Greatsword) [Boss],Valiant Gargoyle (Greatsword),0.0,5671.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,10.0,0.0,35.0,35.0,20.0,40.0,40.0,40.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,110.0
Siofra River,Valiant Gargoyle (Twinblade) [Boss],Valiant Gargoyle (Twinblade),0.0,5671.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,10.0,0.0,35.0,35.0,20.0,40.0,40.0,40.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,110.0
Siofra River - Boss,Ancestor Spirit [Boss],Ancestor Spirit,0.0,4393.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,0.0,0.0,-10.0,0.0,20.0,-20.0,0.0,-20.0,1140.0,1140.0,1140.0,1140.0,9999.0,9999.0,9999.0,120.0
Southeast Caelid,Starscourge Radahn [Boss],Starscourge Radahn,0.0,9572.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,10.0,10.0,10.0,0.0,20.0,20.0,20.0,40.0,334.0,243.0,334.0,334.0,548.0,9999.0,9999.0,200.0
Southeast Mountaintops,Fire Giant [Boss],Fire Giant,0.0,22898.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,0.0,0.0,-10.0,0.0,0.0,50.0,0.0,20.0,565.0,565.0,565.0,1216.0,565.0,9999.0,9999.0,120.0
Southeast Mountaintops,Fire Giant [Boss],Fire Giant,0.0,43263.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,0.0,0.0,-10.0,0.0,0.0,50.0,0.0,20.0,565.0,565.0,565.0,1216.0,565.0,9999.0,9999.0,120.0
Southwest Mountaintops,Night's Cavalry (Flail) [Boss],Night's Cavalry (Flail),0.0,7246.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,35.0,35.0,35.0,10.0,40.0,40.0,20.0,40.0,399.0,399.0,653.0,653.0,9999.0,9999.0,9999.0,80.0
Southwest Mountaintops,Night's Cavalry (Glaive) [Boss],Night's Cavalry (Glaive),0.0,7246.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,35.0,35.0,35.0,10.0,40.0,40.0,20.0,40.0,399.0,399.0,653.0,653.0,9999.0,9999.0,9999.0,80.0
Spiritcaller Cave,Godskin Apostle [Boss],Godskin Apostle,0.0,9847.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,0.0,10.0,-10.0,0.0,20.0,40.0,20.0,40.0,9999.0,9999.0,9999.0,9999.0,247.0,9999.0,9999.0,80.0
Spiritcaller Cave,Godskin Noble [Boss],Godskin Noble,0.0,11814.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,0.0,35.0,-10.0,0.0,20.0,40.0,20.0,40.0,9999.0,9999.0,9999.0,9999.0,247.0,9999.0,9999.0,80.0
Spiritcaller Cave,Spiritcaller Snail [Boss],Spiritcaller Snail,0.0,1840.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,-10.0,-10.0,-40.0,-10.0,40.0,0.0,-20.0,0.0,185.0,185.0,185.0,139.0,139.0,9999.0,9999.0,30.0
Stillwater Cave,Cleanrot Knight (Spear) [Boss],Cleanrot Knight (Spear),0.0,1980.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,10.0,10.0,35.0,0.0,20.0,-20.0,0.0,40.0,9999.0,530.0,324.0,324.0,235.0,9999.0,9999.0,65.0
Stone Platform,Elden Beast [Boss],Elden Beast,0.0,22127.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,10.0,10.0,10.0,10.0,40.0,40.0,40.0,80.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,150.0
Stone Platform,Radagon of the Golden Order [Boss],Radagon of the Golden Order,0.0,13339.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,35.0,10.0,35.0,35.0,20.0,0.0,20.0,80.0,627.0,627.0,9999.0,627.0,9999.0,9999.0,9999.0,120.0
Stormfoot Catacombs,Burial Watchdog (Sword) [Boss],Burial Watchdog (Sword),0.0,1200.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,35.0,10.0,35.0,35.0,40.0,40.0,40.0,40.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,80.0
"Stormhill - Warmaster's Shack, Stormgate",Bell Bearing Hunter [Boss],Bell Bearing Hunter,0.0,2495.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,35.0,35.0,35.0,10.0,40.0,40.0,20.0,40.0,316.0,316.0,517.0,517.0,316.0,9999.0,9999.0,80.0
"Stormhill - Warmaster's Shack, Stormgate",Death Rite Bird [Boss],Death Rite Bird,0.0,3442.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,10.0,-40.0,10.0,35.0,20.0,20.0,40.0,-40.0,9999.0,517.0,9999.0,9999.0,9999.0,9999.0,9999.0,120.0
Stormveil Castle,Godrick the Grafted [Boss],Godrick the Grafted,0.0,6080.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,40.0,318.0,318.0,318.0,318.0,318.0,9999.0,9999.0,105.0
Stormveil Castle,"Margit, the Fell Omen [Boss]","Margit, the Fell Omen",0.0,4174.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,40.0,316.0,316.0,316.0,316.0,9999.0,9999.0,9999.0,80.0
Stranded Graveyard,Soldier of Godrick [Boss],Soldier of Godrick,0.0,384.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,10.0,-10.0,0.0,0.0,-20.0,0.0,168.0,168.0,224.0,224.0,224.0,9999.0,9999.0,15.0
